8 56
2 3 100000.0
5 4 100000.0
0 7 141421.35623730952
3 1 223606.79774997898
3 2 100000.0
3 7 282842.71247461904
2 5 100000.0
2 4 141421.35623730952
4 2 141421.35623730952
3 4 223606.79774997898
1 3 223606.79774997898
6 4 200000.0
1 4 282842.71247461904
5 2 100000.0
0 3 282842.71247461904
3 5 141421.35623730952
4 3 223606.79774997898
7 1 223606.79774997898
2 0 282842.71247461904
7 0 141421.35623730952
2 7 223606.79774997898
0 4 223606.79774997898
4 1 282842.71247461904
4 7 100000.0
7 6 223606.79774997898
1 6 223606.79774997898
5 7 141421.35623730952
1 5 282842.71247461904
2 1 282842.71247461904
1 7 223606.79774997898
7 3 282842.71247461904
7 2 223606.79774997898
1 0 100000.0
3 0 282842.71247461904
6 0 282842.71247461904
0 5 282842.71247461904
3 6 100000.0
2 6 141421.35623730952
5 1 282842.71247461904
7 5 141421.35623730952
0 6 282842.71247461904
0 1 100000.0
6 2 141421.35623730952
6 3 100000.0
5 6 100000.0
1 2 282842.71247461904
5 3 141421.35623730952
6 1 223606.79774997898
6 5 100000.0
4 5 100000.0
4 0 223606.79774997898
0 2 282842.71247461904
7 4 100000.0
4 6 200000.0
6 7 223606.79774997898
5 0 282842.71247461904
